day,subject,trial,s2,c1,c2,r,stim1_l,stim1_r,stim2_l,stim2_r,stake
1,w7dlo8n103,45.0,2,2,2,1.0,1,2,1,2,1
1,w7dlo8n103,45.0,1,1,2,0.0,1,2,1,2,5
1,w7dlo8n103,46.0,1,1,2,0.0,2,1,1,2,5
1,w7dlo8n103,46.0,1,2,2,5.0,2,1,2,1,1
1,w7dlo8n103,47.0,2,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,47.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,48.0,2,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,48.0,1,1,1,0.0,1,2,1,2,5
1,w7dlo8n103,49.0,1,1,1,0.0,2,1,2,1,5
1,w7dlo8n103,49.0,1,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,50.0,2,2,1,5.0,2,1,2,1,1
1,w7dlo8n103,50.0,2,1,2,0.0,2,1,1,2,5
1,w7dlo8n103,51.0,1,2,2,1.0,1,2,1,2,1
1,w7dlo8n103,51.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,52.0,1,1,1,0.0,2,1,2,1,5
1,w7dlo8n103,52.0,1,1,1,0.0,2,1,1,2,1
1,w7dlo8n103,53.0,1,1,2,0.0,2,1,1,2,5
1,w7dlo8n103,53.0,2,2,1,5.0,1,2,2,1,1
1,w7dlo8n103,54.0,2,2,1,5.0,1,2,2,1,5
1,w7dlo8n103,54.0,1,2,1,5.0,1,2,2,1,1
1,w7dlo8n103,55.0,2,1,1,5.0,2,1,2,1,1
1,w7dlo8n103,55.0,1,1,2,0.0,2,1,1,2,5
1,w7dlo8n103,56.0,1,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,56.0,2,1,1,0.0,2,1,2,1,5
1,w7dlo8n103,57.0,1,2,1,1.0,1,2,1,2,1
1,w7dlo8n103,57.0,1,1,1,5.0,2,1,2,1,5
1,w7dlo8n103,58.0,2,2,2,0.0,1,2,1,2,5
1,w7dlo8n103,58.0,1,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,59.0,2,2,1,0.0,1,2,2,1,5
1,w7dlo8n103,59.0,1,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,60.0,2,1,2,1.0,1,2,1,2,5
1,w7dlo8n103,60.0,2,2,2,5.0,1,2,2,1,1
1,w7dlo8n103,61.0,1,2,2,1.0,1,2,1,2,1
1,w7dlo8n103,61.0,2,1,2,0.0,2,1,2,1,5
1,w7dlo8n103,62.0,1,1,2,1.0,2,1,1,2,5
1,w7dlo8n103,62.0,1,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,63.0,1,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,63.0,2,2,1,0.0,2,1,2,1,5
1,w7dlo8n103,64.0,1,1,2,0.0,2,1,1,2,5
1,w7dlo8n103,64.0,1,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,65.0,2,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,65.0,1,1,2,0.0,1,2,2,1,5
1,w7dlo8n103,66.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,66.0,1,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,67.0,1,2,1,0.0,2,1,1,2,1
1,w7dlo8n103,67.0,2,2,1,0.0,2,1,2,1,5
1,w7dlo8n103,68.0,2,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,68.0,1,2,1,0.0,2,1,1,2,5
1,w7dlo8n103,69.0,1,1,2,0.0,2,1,1,2,5
1,w7dlo8n103,69.0,2,2,2,1.0,2,1,1,2,1
1,w7dlo8n103,70.0,2,2,2,5.0,2,1,2,1,1
1,w7dlo8n103,70.0,1,1,2,0.0,2,1,2,1,5
1,w7dlo8n103,71.0,1,2,1,0.0,1,2,2,1,5
1,w7dlo8n103,71.0,1,1,2,1.0,1,2,1,2,1
1,w7dlo8n103,72.0,2,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,72.0,2,2,1,0.0,2,1,2,1,5
1,w7dlo8n103,73.0,2,2,2,0.0,2,1,2,1,5
1,w7dlo8n103,73.0,1,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,74.0,2,2,2,5.0,1,2,2,1,1
1,w7dlo8n103,74.0,2,2,1,5.0,1,2,2,1,5
1,w7dlo8n103,75.0,1,2,2,1.0,1,2,1,2,1
1,w7dlo8n103,75.0,1,2,2,1.0,2,1,1,2,5
1,w7dlo8n103,76.0,,,,-1.0,,,,,1
1,w7dlo8n103,76.0,,,,-1.0,,,,,5
1,w7dlo8n103,77.0,1,1,2,1.0,1,2,1,2,1
1,w7dlo8n103,77.0,1,1,1,0.0,2,1,2,1,5
1,w7dlo8n103,78.0,1,1,2,1.0,1,2,1,2,5
1,w7dlo8n103,78.0,2,2,1,1.0,2,1,1,2,1
1,w7dlo8n103,79.0,2,2,1,5.0,1,2,2,1,5
1,w7dlo8n103,79.0,1,1,2,0.0,1,2,1,2,1
1,w7dlo8n103,80.0,2,2,1,1.0,1,2,1,2,5
1,w7dlo8n103,80.0,2,2,1,1.0,1,2,1,2,1
1,w7dlo8n103,81.0,1,1,2,0.0,2,1,2,1,5
1,w7dlo8n103,81.0,1,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,82.0,1,2,1,1.0,1,2,1,2,1
1,w7dlo8n103,82.0,1,1,1,1.0,2,1,1,2,5
1,w7dlo8n103,83.0,2,2,1,1.0,1,2,1,2,1
1,w7dlo8n103,83.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,84.0,2,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,84.0,1,1,1,0.0,2,1,2,1,5
1,w7dlo8n103,85.0,2,1,1,0.0,2,1,1,2,1
1,w7dlo8n103,85.0,2,1,1,0.0,2,1,1,2,5
1,w7dlo8n103,86.0,2,2,2,1.0,2,1,1,2,5
1,w7dlo8n103,86.0,1,1,1,5.0,1,2,2,1,1
1,w7dlo8n103,87.0,2,2,2,0.0,1,2,1,2,1
1,w7dlo8n103,87.0,2,2,2,0.0,1,2,1,2,5
1,w7dlo8n103,88.0,2,2,1,0.0,1,2,1,2,5
1,w7dlo8n103,88.0,2,2,1,0.0,1,2,1,2,1
1,w7dlo8n103,89.0,2,2,1,5.0,2,1,2,1,1
1,w7dlo8n103,89.0,1,1,2,1.0,1,2,1,2,5
1,w7dlo8n103,90.0,1,2,1,5.0,2,1,2,1,5
1,w7dlo8n103,90.0,2,2,1,5.0,2,1,2,1,1
1,w7dlo8n103,91.0,2,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,91.0,1,1,1,5.0,2,1,2,1,5
1,w7dlo8n103,92.0,2,2,1,0.0,1,2,1,2,1
1,w7dlo8n103,92.0,1,1,2,0.0,2,1,2,1,5
1,w7dlo8n103,93.0,1,2,1,5.0,1,2,2,1,5
1,w7dlo8n103,93.0,2,2,2,0.0,2,1,1,2,1
1,w7dlo8n103,94.0,2,2,1,0.0,1,2,1,2,5
1,w7dlo8n103,94.0,2,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,95.0,1,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,95.0,2,2,1,5.0,2,1,2,1,1
1,w7dlo8n103,96.0,2,2,2,5.0,1,2,2,1,5
1,w7dlo8n103,96.0,2,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,97.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,97.0,1,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,98.0,1,1,1,0.0,2,1,1,2,5
1,w7dlo8n103,98.0,1,1,2,0.0,2,1,2,1,1
1,w7dlo8n103,99.0,1,1,2,5.0,2,1,2,1,1
1,w7dlo8n103,99.0,1,2,2,5.0,1,2,2,1,5
1,w7dlo8n103,100.0,2,2,1,5.0,2,1,2,1,1
1,w7dlo8n103,100.0,2,2,2,0.0,1,2,2,1,5
1,zbb03k9h03,1.0,2,2,,-1.0,1,2,1,2,1
1,zbb03k9h03,1.0,,,,-1.0,,,,,5
1,zbb03k9h03,2.0,1,2,2,0.0,1,2,2,1,5
1,zbb03k9h03,2.0,2,2,,-1.0,2,1,1,2,1
1,zbb03k9h03,3.0,1,2,1,5.0,2,1,2,1,1
