day,subject,trial,s1,s2,c,r,stim_l,stim_r,stake,s1L
1,0hc5jby300,22.0,1,1.0,1,24.0,2,1,1,0
1,0hc5jby300,22.0,3,3.0,1,0.0,2,1,5,0
1,0hc5jby300,23.0,1,2.0,2,24.0,1,2,1,1
1,0hc5jby300,23.0,4,3.0,3,1.8,4,3,5,0
1,0hc5jby300,24.0,2,2.0,4,24.0,3,4,1,1
1,0hc5jby300,24.0,4,3.0,3,3.6,4,3,5,0
1,0hc5jby300,25.0,2,1.0,3,18.0,4,3,1,0
1,0hc5jby300,25.0,4,3.0,3,3.0,4,3,5,0
1,0hc5jby300,26.0,2,1.0,3,21.0,4,3,1,0
1,0hc5jby300,26.0,3,3.0,1,0.0,2,1,5,0
1,0hc5jby300,27.0,4,3.0,3,0.0,4,3,5,0
1,0hc5jby300,27.0,2,1.0,3,21.0,4,3,1,0
1,0hc5jby300,28.0,3,3.0,1,0.0,2,1,5,0
1,0hc5jby300,28.0,2,1.0,3,24.0,3,4,1,1
1,0hc5jby300,29.0,4,4.0,4,5.4,3,4,5,1
1,0hc5jby300,29.0,1,2.0,2,15.0,1,2,1,1
1,0hc5jby300,30.0,2,2.0,4,12.0,3,4,1,1
1,0hc5jby300,30.0,3,3.0,1,0.6,2,1,5,0
1,0hc5jby300,31.0,1,1.0,1,9.0,2,1,1,0
1,0hc5jby300,31.0,3,3.0,1,1.2,2,1,5,0
1,0hc5jby300,32.0,3,4.0,2,0.6,1,2,5,1
1,0hc5jby300,32.0,1,2.0,2,24.0,1,2,1,1
1,0hc5jby300,33.0,4,4.0,4,0.0,3,4,5,1
1,0hc5jby300,33.0,2,1.0,3,9.0,3,4,1,1
1,0hc5jby300,34.0,3,3.0,1,2.4,2,1,5,0
1,0hc5jby300,34.0,1,1.0,1,3.0,2,1,1,0
1,0hc5jby300,35.0,3,3.0,1,1.2,2,1,5,0
1,0hc5jby300,35.0,1,1.0,1,3.0,2,1,1,0
1,0hc5jby300,36.0,3,3.0,1,1.8,1,2,5,1
1,0hc5jby300,36.0,2,1.0,3,0.0,3,4,1,1
1,0hc5jby300,37.0,2,1.0,3,0.0,4,3,1,0
1,0hc5jby300,37.0,3,3.0,1,3.6,1,2,5,1
1,0hc5jby300,38.0,4,3.0,3,3.6,4,3,5,0
1,0hc5jby300,38.0,1,2.0,2,12.0,1,2,1,1
1,0hc5jby300,39.0,1,1.0,1,15.0,2,1,1,0
1,0hc5jby300,39.0,4,4.0,4,3.0,3,4,5,1
1,0hc5jby300,40.0,2,1.0,3,6.0,4,3,1,0
1,0hc5jby300,40.0,4,4.0,4,3.6,3,4,5,1
1,0hc5jby300,41.0,1,2.0,2,6.0,2,1,1,0
1,0hc5jby300,41.0,4,4.0,4,3.6,3,4,5,1
1,0hc5jby300,42.0,2,1.0,3,0.0,4,3,1,0
1,0hc5jby300,42.0,4,3.0,3,4.2,4,3,5,0
1,0hc5jby300,43.0,2,1.0,3,6.0,4,3,1,0
1,0hc5jby300,43.0,4,4.0,4,2.4,3,4,5,1
1,0hc5jby300,44.0,1,2.0,2,27.0,2,1,1,0
1,0hc5jby300,44.0,4,3.0,3,5.4,4,3,5,0
1,0hc5jby300,45.0,1,1.0,1,6.0,2,1,1,0
1,0hc5jby300,45.0,3,3.0,1,4.8,1,2,5,1
1,0hc5jby300,46.0,2,1.0,3,6.0,4,3,1,0
1,0hc5jby300,46.0,4,4.0,4,1.8,3,4,5,1
1,0hc5jby300,47.0,3,4.0,2,1.2,1,2,5,1
1,0hc5jby300,47.0,1,1.0,1,6.0,2,1,1,0
1,0hc5jby300,48.0,1,2.0,2,24.0,1,2,1,1
1,0hc5jby300,48.0,3,4.0,2,1.8,2,1,5,0
1,0hc5jby300,49.0,4,3.0,3,0.0,4,3,5,0
1,0hc5jby300,49.0,1,1.0,1,6.0,2,1,1,0
1,0hc5jby300,50.0,2,2.0,4,27.0,4,3,1,0
1,0hc5jby300,50.0,4,3.0,3,0.0,4,3,5,0
1,0hc5jby300,51.0,4,3.0,3,0.0,3,4,5,1
1,0hc5jby300,51.0,1,1.0,1,0.0,2,1,1,0
1,0hc5jby300,52.0,3,3.0,1,1.2,1,2,5,1
1,0hc5jby300,52.0,1,2.0,2,24.0,2,1,1,0
1,0hc5jby300,53.0,3,3.0,1,1.8,1,2,5,1
1,0hc5jby300,53.0,1,1.0,1,0.0,2,1,1,0
1,0hc5jby300,54.0,2,2.0,4,24.0,4,3,1,0
1,0hc5jby300,54.0,4,4.0,4,2.4,3,4,5,1
1,0hc5jby300,55.0,1,1.0,1,3.0,2,1,1,0
1,0hc5jby300,55.0,4,4.0,4,4.8,4,3,5,0
1,0hc5jby300,56.0,3,4.0,2,5.4,1,2,5,1
1,0hc5jby300,56.0,2,1.0,3,12.0,4,3,1,0
1,0hc5jby300,57.0,1,1.0,1,15.0,2,1,1,0
1,0hc5jby300,57.0,4,4.0,4,5.4,3,4,5,1
1,0hc5jby300,58.0,2,1.0,3,24.0,4,3,1,0
1,0hc5jby300,58.0,4,4.0,4,5.4,3,4,5,1
1,0hc5jby300,59.0,2,1.0,3,21.0,4,3,1,0
1,0hc5jby300,59.0,4,4.0,4,3.6,3,4,5,1
1,0hc5jby300,60.0,4,3.0,3,4.2,3,4,5,1
1,0hc5jby300,60.0,1,1.0,1,18.0,2,1,1,0
1,0hc5jby300,61.0,3,4.0,2,4.2,2,1,5,0
1,0hc5jby300,61.0,1,1.0,1,24.0,2,1,1,0
1,0hc5jby300,62.0,2,2.0,4,18.0,4,3,1,0
1,0hc5jby300,62.0,4,3.0,3,5.4,4,3,5,0
1,0hc5jby300,63.0,2,1.0,3,27.0,4,3,1,0
1,0hc5jby300,63.0,4,4.0,4,4.2,4,3,5,0
1,0hc5jby300,64.0,2,2.0,4,27.0,3,4,1,1
1,0hc5jby300,64.0,3,3.0,1,4.8,2,1,5,0
1,0hc5jby300,65.0,2,2.0,4,18.0,4,3,1,0
1,0hc5jby300,65.0,4,3.0,3,4.8,3,4,5,1
1,0hc5jby300,66.0,2,1.0,3,27.0,3,4,1,1
1,0hc5jby300,66.0,4,4.0,4,2.4,3,4,5,1
1,0hc5jby300,67.0,4,3.0,3,3.6,4,3,5,0
1,0hc5jby300,67.0,1,2.0,2,15.0,1,2,1,1
1,0hc5jby300,68.0,4,3.0,3,2.4,4,3,5,0
1,0hc5jby300,68.0,2,2.0,4,9.0,4,3,1,0
1,0hc5jby300,69.0,2,2.0,4,21.0,3,4,1,1
1,0hc5jby300,69.0,3,3.0,1,3.6,1,2,5,1
