day,subject,trial,s1,s2,c,r,stim_l,stim_m,stim_r,stake
2,e4khl3b302,80.0,1,2.0,2,9.0,1,,2,1
2,e4khl3b302,80.0,3,3.0,1,5.0,3,1,2,5
2,e4khl3b302,81.0,4,3.0,4,6.0,6,4,5,5
2,e4khl3b302,81.0,1,1.0,1,5.0,2,,1,1
2,e4khl3b302,82.0,4,3.0,4,7.0,6,4,5,5
2,e4khl3b302,82.0,2,2.0,4,7.0,3,,4,1
2,e4khl3b302,83.0,2,2.0,4,5.0,3,,4,1
2,e4khl3b302,83.0,3,4.0,2,4.0,2,1,3,5
2,e4khl3b302,84.0,4,3.0,4,9.0,5,4,6,5
2,e4khl3b302,84.0,1,2.0,2,1.0,1,,2,1
2,e4khl3b302,85.0,4,3.0,4,7.0,5,4,6,5
2,e4khl3b302,85.0,2,2.0,4,4.0,3,,4,1
2,e4khl3b302,86.0,1,2.0,2,1.0,1,,2,1
2,e4khl3b302,86.0,3,5.0,3,0.0,2,3,1,5
2,e4khl3b302,87.0,2,2.0,4,1.0,3,,4,1
2,e4khl3b302,87.0,3,4.0,2,7.0,1,3,2,5
2,e4khl3b302,88.0,2,2.0,4,0.0,3,,4,1
2,e4khl3b302,88.0,3,4.0,2,8.0,2,3,1,5
2,e4khl3b302,89.0,1,1.0,1,3.0,2,,1,1
2,e4khl3b302,89.0,3,5.0,3,0.0,2,3,1,5
2,e4khl3b302,90.0,2,1.0,3,6.0,4,,3,1
2,e4khl3b302,90.0,4,3.0,4,6.0,5,6,4,5
2,e4khl3b302,91.0,1,2.0,2,3.0,1,,2,1
2,e4khl3b302,91.0,3,4.0,2,7.0,2,3,1,5
2,e4khl3b302,92.0,4,4.0,5,4.0,4,6,5,5
2,e4khl3b302,92.0,1,2.0,2,4.0,1,,2,1
2,e4khl3b302,93.0,1,2.0,2,5.0,1,,2,1
2,e4khl3b302,93.0,3,4.0,2,5.0,1,3,2,5
2,e4khl3b302,94.0,3,4.0,2,3.0,2,1,3,5
2,e4khl3b302,94.0,1,2.0,2,6.0,1,,2,1
2,e4khl3b302,95.0,4,5.0,6,3.0,5,4,6,5
2,e4khl3b302,95.0,1,2.0,2,8.0,1,,2,1
2,e4khl3b302,96.0,1,2.0,2,9.0,1,,2,1
2,e4khl3b302,96.0,4,4.0,5,7.0,4,6,5,5
2,e4khl3b302,97.0,1,1.0,1,0.0,2,,1,1
2,e4khl3b302,97.0,4,4.0,5,6.0,4,6,5,5
2,e4khl3b302,98.0,2,2.0,4,8.0,4,,3,1
2,e4khl3b302,98.0,3,4.0,2,9.0,3,2,1,5
2,e4khl3b302,99.0,2,2.0,4,8.0,4,,3,1
